Year,Revenue,EBITDA,Depreciation,EBIT,NetIncome,OCF,CapEx,TotalAssets,TotalEquity,Debt,Cash,WorkingCapital,InterestExpense,TaxRate,SharesOutstanding,CurrentPrice
2015,62000,12000,2000,10000,6500,8000,5000,90000,42000,20000,6000,12000,1800,0.25,900,420
2016,68000,13500,2200,11300,7200,9000,5400,95000,45000,22000,6500,13000,1900,0.25,920,460
2017,74000,15500,2500,13000,8500,10500,6000,100000,48000,24000,7500,14000,2000,0.25,940,520
2018,80000,18000,2800,15200,9800,12000,6800,105000,51000,26000,8500,15000,2100,0.25,960,580
2019,86000,20000,3000,17000,11000,13500,7200,108000,54000,28000,9000,15500,2200,0.25,980,620
2020,85000,18000,3000,15000,9500,12000,7000,110000,52000,28000,9000,15000,2200,0.25,980,650
2021,92000,20500,3200,17300,11000,14000,7600,118000,56000,30000,10000,16000,2300,0.25,990,720
2022,100000,25000,3500,21500,15000,18000,8200,120000,60000,30000,12000,18000,2500,0.25,1000,820
2023,112000,28000,3800,24200,17000,20000,9000,130000,65000,32000,15000,19000,2600,0.25,1020,880
2024,125000,32000,4200,27800,20000,24000,10000,145000,72000,35000,18000,21000,2800,0.25,1050,940
